,start_station_name,StartAt,Year,Count
70,21st Ave at International Blvd,Morning,2018,2
667,Oak St at 1st St,Morning,2018,2
211,Almaden Blvd at San Fernando St,Morning,2018,2
375,Farnam St at Fruitvale Ave,Morning,2018,2
208,Almaden Blvd at Balbach St,Morning,2018,2
235,Berry St at 4th St,Morning,2018,902
575,Market St at 10th St,Morning,2018,928
763,San Francisco Ferry Building (Harry Bridges Plaza),Morning,2018,1043
754,San Francisco Caltrain (Townsend St at 4th St),Morning,2018,1161
757,San Francisco Caltrain Station 2  (Townsend St at 4th St),Morning,2018,1743
68,21st Ave at International Blvd,Afternoon,2018,1
373,Farnam St at Fruitvale Ave,Afternoon,2018,2
674,Palm St at Willow St,Afternoon,2018,2
666,Oak St at 1st St,Afternoon,2018,3
74,23rd Ave at Foothill Blvd,Afternoon,2018,3
639,Montgomery St BART Station (Market St at 2nd St),Afternoon,2018,919
701,Powell St BART Station (Market St at 4th St),Afternoon,2018,994
860,The Embarcadero at Sansome St,Afternoon,2018,1008
573,Market St at 10th St,Afternoon,2018,1027
761,San Francisco Ferry Building (Harry Bridges Plaza),Afternoon,2018,1038
652,Newhall St at 3rd St,Evening,2018,1
947,Willow St at Vine St,Evening,2018,1
613,Mendell St at Fairfax Ave,Evening,2018,1
942,Williams Ave at 3rd St,Evening,2018,1
675,Palm St at Willow St,Evening,2018,1
640,Montgomery St BART Station (Market St at 2nd St),Evening,2018,478
756,San Francisco Caltrain Station 2  (Townsend St at 4th St),Evening,2018,501
705,Powell St BART Station (Market St at 5th St),Evening,2018,501
574,Market St at 10th St,Evening,2018,593
702,Powell St BART Station (Market St at 4th St),Evening,2018,662
85,1st St at Younger Ave,Morning,2019,1
899,Parkmoor Ave at Race St,Morning,2019,1
486,Evans Ave at Mendell St,Morning,2019,1
715,Kerley Dr at Rosemary St,Morning,2019,1
408,Columbia Ave at Bird Ave,Morning,2019,1
301,Berry St at 4th St,Morning,2019,798
1082,Steuart St at Market St,Morning,2019,842
652,Howard St at Beale St,Morning,2019,968
760,Market St at 10th St,Morning,2019,1005
995,San Francisco Caltrain (Townsend St at 4th St),Morning,2019,2034
805,Mercado Way at Sierra Rd,Afternoon,2019,1
57,17th St at Santa Clara St,Afternoon,2019,1
202,5th St at Taylor St,Afternoon,2019,1
689,Jackson St at N 1st St,Afternoon,2019,1
72,19th St at William St,Afternoon,2019,2
175,4th St at 16th St,Afternoon,2019,694
924,Powell St BART Station (Market St at 4th St),Afternoon,2019,694
831,Montgomery St BART Station (Market St at 2nd St),Afternoon,2019,707
758,Market St at 10th St,Afternoon,2019,884
299,Berry St at 4th St,Afternoon,2019,1040
530,Foothill Blvd at Harrington Ave,Evening,2019,1
886,Park Ave at Laurel Grove Ln,Evening,2019,1
889,Park Ave at Race St,Evening,2019,1
263,Asbury St at The Alameda,Evening,2019,1
868,Oak St at 1st St,Evening,2019,1
928,Powell St BART Station (Market St at 5th St),Evening,2019,405
925,Powell St BART Station (Market St at 4th St),Evening,2019,461
300,Berry St at 4th St,Evening,2019,461
759,Market St at 10th St,Evening,2019,513
994,San Francisco Caltrain (Townsend St at 4th St),Evening,2019,523
